TABLO-3 2024 Yýlý Merkezi Yerleþtirme Ýle Öðrenci Alan Yükseköðretim Ön Lisans Programlarý;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Genel Kontenjan;;;;Okul Birincisi Kontenjaný;;;;Depremzede Aday Kontenjaný;;;;34 Yaþ Üstü Kadýn Kontenjaný;;;;Þehit Yakýný-Gazi/Gazi Yakýný Kontenjaný;;;
200190038;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Aðýz ve Diþ Saðlýðý (ÝÖ) (Burslu);TYT;4;4;336,33366;421,76245;--;--;--;--;1;1;333,92712;333,92712;--;--;--;--;--;--;--;--
200150688;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Ameliyathane Hizmetleri (%50 Ýndirimli);TYT;34;34;256,04731;321,59276;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150679;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Ameliyathane Hizmetleri (Burslu);TYT;5;5;341,28945;349,90125;--;--;--;--;1;1;267,81080;267,81080;--;--;--;--;1;1;186,54900;186,54900
200150255;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Anestezi (%50 Ýndirimli);TYT;31;31;305,41544;340,17189;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150025;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Anestezi (Burslu);TYT;4;4;401,00468;425,80967;--;--;--;--;1;1;398,97930;398,97930;--;--;--;--;1;1;223,09045;223,09045
200150397;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Anestezi (ÝÖ) (%50 Ýndirimli);TYT;31;31;284,44440;321,13416;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150404;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Anestezi (ÝÖ) (Burslu);TYT;4;4;366,16336;393,62975;--;--;--;--;1;1;356,55118;356,55118;--;--;--;--;1;0;--;--
200150334;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Diyaliz (%50 Ýndirimli);TYT;31;31;221,26701;303,23595;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150185;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Diyaliz (Burslu);TYT;4;4;331,39655;343,58059;--;--;--;--;1;1;239,38060;239,38060;--;--;--;--;1;0;--;--
200150343;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Elektronörofizyoloji (%50 Ýndirimli);TYT;28;28;180,43396;308,60184;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150201;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Elektronörofizyoloji (Burslu);TYT;4;4;331,98065;344,34126;--;--;--;--;1;1;244,37992;244,37992;--;--;--;--;1;1;202,60602;202,60602
200190059;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Fizyoterapi (%50 Ýndirimli);TYT;31;31;264,22435;325,77124;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200190058;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Fizyoterapi (Burslu);TYT;4;4;396,06898;416,04500;--;--;--;--;1;1;266,82230;266,82230;--;--;--;--;1;0;--;--
200150264;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Ýlk ve Acil Yardým (%50 Ýndirimli);TYT;38;38;291,26704;332,73212;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150167;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Ýlk ve Acil Yardým (Burslu);TYT;6;6;367,14228;390,65643;--;--;--;--;1;1;354,00969;354,00969;--;--;--;--;1;0;--;--
200150494;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Ýlk ve Acil Yardým (ÝÖ) (%50 Ýndirimli);TYT;38;38;266,42514;320,92932;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150501;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Ýlk ve Acil Yardým (ÝÖ) (Burslu);TYT;6;6;341,28071;392,24990;--;--;--;--;1;1;289,39512;289,39512;--;--;--;--;1;1;235,87865;235,87865
200150704;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Odyometri (%50 Ýndirimli);TYT;25;25;213,98068;246,24165;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150697;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Odyometri (Burslu);TYT;4;4;349,48090;413,24037;--;--;--;--;1;1;217,68113;217,68113;--;--;--;--;1;0;--;--
200150722;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Optisyenlik (%50 Ýndirimli);TYT;38;38;243,09431;330,35403;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150713;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Optisyenlik (Burslu);TYT;6;6;351,33626;417,15876;--;--;--;--;1;1;305,52807;305,52807;--;--;--;--;1;1;315,38771;315,38771
200150749;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Ortopedik Protez ve Ortez (%50 Ýndirimli);TYT;20;20;207,93024;280,40604;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150731;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Ortopedik Protez ve Ortez (Burslu);TYT;3;3;320,39119;325,37177;--;--;--;--;1;1;235,53753;235,53753;--;--;--;--;--;--;--;--
200150307;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Patoloji Laboratuvar Teknikleri (%50 Ýndirimli);TYT;31;31;224,82683;311,34748;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150061;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Patoloji Laboratuvar Teknikleri (Burslu);TYT;4;4;342,22767;347,65085;--;--;--;--;1;1;284,98078;284,98078;--;--;--;--;1;0;--;--
200150519;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Patoloji Laboratuvar Teknikleri (ÝÖ) (%50 Ýndirimli);TYT;20;20;206,44575;273,13031;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150528;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Patoloji Laboratuvar Teknikleri (ÝÖ) (Burslu);TYT;3;3;337,00384;341,88675;--;--;--;--;1;0;--;--;--;--;--;--;--;--;--;--
200150537;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Podoloji (%50 Ýndirimli);TYT;21;21;222,63438;315,58578;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150546;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Podoloji (Burslu);TYT;4;4;327,72284;379,39526;--;--;--;--;1;1;313,57712;313,57712;--;--;--;--;--;--;--;--
200150555;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Podoloji (ÝÖ) (%50 Ýndirimli);TYT;21;21;209,15301;318,84133;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150564;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Podoloji (ÝÖ) (Burslu);TYT;4;4;331,82369;400,72006;--;--;--;--;1;1;224,33495;224,33495;--;--;--;--;--;--;--;--
200150282;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Radyoterapi (%50 Ýndirimli);TYT;31;31;216,60002;271,96223;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150088;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Radyoterapi (Burslu);TYT;4;4;327,51373;335,12879;--;--;--;--;1;1;193,47524;193,47524;--;--;--;--;1;0;--;--
200150316;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Dokümantasyon ve Sekreterlik (%50 Ýndirimli);TYT;23;23;271,92740;316,90511;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150149;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Dokümantasyon ve Sekreterlik (Burslu);TYT;3;3;364,83145;370,03230;--;--;--;--;1;1;294,24350;294,24350;--;--;--;--;1;0;--;--
200150591;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Dokümantasyon ve Sekreterlik (ÝÖ) (%50 Ýndirimli);TYT;12;12;244,17433;277,48542;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150607;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Dokümantasyon ve Sekreterlik (ÝÖ) (Burslu);TYT;3;3;320,26178;364,79935;--;--;--;--;1;1;286,87223;286,87223;--;--;--;--;--;--;--;--
200150273;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Görüntüleme Teknikleri (%50 Ýndirimli);TYT;34;34;276,86314;317,64336;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150113;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Görüntüleme Teknikleri (Burslu);TYT;5;5;363,04707;380,49346;--;--;--;--;1;1;352,32951;352,32951;--;--;--;--;1;0;--;--
200150616;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Görüntüleme Teknikleri (ÝÖ) (%50 Ýndirimli);TYT;34;34;239,18176;313,12886;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150625;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Görüntüleme Teknikleri (ÝÖ) (Burslu);TYT;5;5;334,93214;355,57553;--;--;--;--;1;1;300,70850;300,70850;--;--;--;--;1;0;--;--
200150291;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Laboratuvar Teknikleri (%50 Ýndirimli);TYT;38;38;252,41526;319,98707;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150131;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Laboratuvar Teknikleri (Burslu);TYT;6;6;361,02580;393,09558;--;--;--;--;1;1;334,54431;334,54431;--;--;--;--;1;0;--;--
200150634;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Laboratuvar Teknikleri (ÝÖ) (%50 Ýndirimli);TYT;27;27;225,18696;246,11850;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
200150643;VAKIF;ACIBADEM MEHMET ALÝ AYDINLAR ÜNÝVERSÝTESÝ (ÝSTANBUL);Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Laboratuvar Teknikleri (ÝÖ) (Burslu);TYT;4;4;344,32906;380,49261;--;--;--;--;1;1;235,98269;235,98269;--;--;--;--;1;0;--;--
110410279;DEVLET;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ;Biliþim Teknolojileri Meslek Yüksekokulu;Arka-Yüz Yazýlým Geliþtirme;TYT;30;31;323,77339;406,41763;1;0;--;--;8;8;313,59010;322,48668;1;1;242,43090;242,43090;--;--;--;--
110410286;DEVLET;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ;Biliþim Teknolojileri Meslek Yüksekokulu;Bulut Biliþim Operatörlüðü;TYT;30;30;305,85560;355,88199;1;1;237,83900;237,83900;8;8;301,71903;304,52158;1;1;240,73835;240,73835;--;--;--;--
110410293;DEVLET;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ;Biliþim Teknolojileri Meslek Yüksekokulu;Büyük Veri Analistliði;TYT;30;31;313,94391;372,00708;1;0;--;--;8;8;305,29994;313,01086;1;1;266,54550;266,54550;--;--;--;--
110410300;DEVLET;ADANA ALPARSLAN TÜRKEÞ BÝLÝM VE TEKNOLOJÝ ÜNÝVERSÝTESÝ;Biliþim Teknolojileri Meslek Yüksekokulu;Ön-Yüz Yazýlým Geliþtirme;TYT;30;31;306,45284;357,79582;1;0;--;--;8;8;304,16706;306,33057;1;1;263,38466;263,38466;--;--;--;--
100290102;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Besni Ali Erdemoðlu Meslek Yüksekokulu;Bankacýlýk ve Sigortacýlýk;TYT;30;31;254,39332;296,42004;1;0;--;--;8;8;250,34444;253,73290;1;1;206,02730;206,02730;--;--;--;--
100290109;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Besni Ali Erdemoðlu Meslek Yüksekokulu;Bilgi Yönetimi;TYT;30;31;242,05898;282,89994;1;0;--;--;8;8;238,14924;240,42016;1;1;220,94227;220,94227;--;--;--;--
100290116;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Besni Ali Erdemoðlu Meslek Yüksekokulu;Bilgisayar Programcýlýðý;TYT;40;41;257,56269;323,02694;1;0;--;--;10;10;251,16678;256,29516;1;1;214,20506;214,20506;--;--;--;--
100290123;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Besni Ali Erdemoðlu Meslek Yüksekokulu;Büro Yönetimi ve Yönetici Asistanlýðý;TYT;35;36;248,07879;319,82390;1;0;--;--;9;9;244,87851;248,03493;1;1;236,03592;236,03592;--;--;--;--
100290130;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Besni Ali Erdemoðlu Meslek Yüksekokulu;Ýþletme Yönetimi;TYT;30;31;242,34074;304,05101;1;0;--;--;8;8;239,26663;241,54873;1;1;241,73971;241,73971;--;--;--;--
100290137;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Besni Ali Erdemoðlu Meslek Yüksekokulu;Mekatronik;TYT;30;31;254,79014;322,99268;1;0;--;--;8;8;248,14983;253,04008;1;1;221,66406;221,66406;--;--;--;--
100290144;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Besni Ali Erdemoðlu Meslek Yüksekokulu;Muhasebe ve Vergi Uygulamalarý;TYT;30;31;244,94703;362,40922;1;0;--;--;8;8;241,57606;244,64543;1;1;212,77724;212,77724;--;--;--;--
100290070;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Gölbaþý Meslek Yüksekokulu;Bankacýlýk ve Sigortacýlýk;TYT;30;31;243,60914;289,02621;1;0;--;--;8;8;242,66367;243,52921;1;1;221,28654;221,28654;--;--;--;--
100250476;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Gölbaþý Meslek Yüksekokulu;Bilgisayar Programcýlýðý;TYT;40;41;253,75677;284,27579;1;0;--;--;10;10;251,49346;253,61331;1;1;219,25034;219,25034;--;--;--;--
100250591;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Gölbaþý Meslek Yüksekokulu;Büro Yönetimi ve Yönetici Asistanlýðý;TYT;30;31;248,80729;292,56542;1;0;--;--;8;8;246,06607;248,72888;1;1;232,88131;232,88131;--;--;--;--
100290056;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Gölbaþý Meslek Yüksekokulu;Ýþ Saðlýðý ve Güvenliði;TYT;30;31;260,47298;352,76054;1;0;--;--;8;8;257,47936;259,71473;1;1;223,83658;223,83658;--;--;--;--
100250422;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Gölbaþý Meslek Yüksekokulu;Ýþletme Yönetimi;TYT;30;31;233,90365;299,77999;1;0;--;--;8;8;231,83448;233,06335;1;1;229,51270;229,51270;--;--;--;--
100250767;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Gölbaþý Meslek Yüksekokulu;Lojistik;TYT;30;31;238,18106;282,56258;1;0;--;--;8;8;236,87392;237,45986;1;1;220,80185;220,80185;--;--;--;--
100250388;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Gölbaþý Meslek Yüksekokulu;Muhasebe ve Vergi Uygulamalarý;TYT;30;31;236,09907;294,65778;1;0;--;--;8;8;233,58131;235,48526;1;1;227,62977;227,62977;--;--;--;--
100250555;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Gölbaþý Meslek Yüksekokulu;Yerel Yönetimler;TYT;30;31;235,81419;277,91772;1;0;--;--;8;8;233,94099;235,72309;1;1;233,51442;233,51442;--;--;--;--
100250713;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Kahta Meslek Yüksekokulu;Bahçe Tarýmý;TYT;30;31;235,22874;299,61846;1;0;--;--;8;8;231,79371;233,62875;1;1;227,15729;227,15729;--;--;--;--
100250652;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Kahta Meslek Yüksekokulu;Bankacýlýk ve Sigortacýlýk;TYT;30;31;249,94634;343,12114;1;0;--;--;8;8;246,84502;249,65544;1;1;231,89284;231,89284;--;--;--;--
100250485;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Kahta Meslek Yüksekokulu;Bilgisayar Programcýlýðý;TYT;40;41;260,75292;345,98631;1;0;--;--;10;10;255,00600;260,34849;1;1;237,37455;237,37455;--;--;--;--
100250194;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Kahta Meslek Yüksekokulu;Harita ve Kadastro;TYT;30;31;262,01188;311,71204;1;0;--;--;8;8;257,87187;261,59716;1;1;234,39200;234,39200;--;--;--;--
100250625;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Kahta Meslek Yüksekokulu;Laborant ve Veteriner Saðlýk;TYT;30;30;285,37779;359,57176;1;1;223,99958;223,99958;8;8;279,05690;282,29869;1;1;273,49626;273,49626;--;--;--;--
100250397;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Kahta Meslek Yüksekokulu;Muhasebe ve Vergi Uygulamalarý;TYT;30;31;240,51226;293,65116;1;0;--;--;8;8;239,06079;240,45005;1;1;216,14811;216,14811;--;--;--;--
100250228;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Kahta Meslek Yüksekokulu;Tarla Bitkileri;TYT;30;31;241,58512;316,59327;1;0;--;--;8;8;234,30483;240,52774;1;1;225,50967;225,50967;--;--;--;--
100250722;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Kahta Meslek Yüksekokulu;Turizm ve Seyahat Hizmetleri;TYT;20;21;242,18612;319,09606;1;0;--;--;5;5;236,07507;240,91740;1;1;216,43089;216,43089;--;--;--;--
100250246;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Saðlýk Hizmetleri Meslek Yüksekokulu;Çocuk Geliþimi;TYT;30;31;307,25637;372,36738;1;0;--;--;8;8;299,34860;305,66967;1;1;276,25916;276,25916;--;--;--;--
100250749;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Saðlýk Hizmetleri Meslek Yüksekokulu;Ýlk ve Acil Yardým;TYT;30;30;352,56624;417,29696;1;1;292,35409;292,35409;8;8;349,13397;352,51978;1;1;302,04947;302,04947;--;--;--;--
100250731;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Saðlýk Hizmetleri Meslek Yüksekokulu;Optisyenlik;TYT;30;31;306,08574;401,39316;1;0;--;--;8;8;300,75313;305,08178;1;1;276,71650;276,71650;--;--;--;--
100250616;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Saðlýk Hizmetleri Meslek Yüksekokulu;Patoloji Laboratuvar Teknikleri;TYT;30;31;318,97433;380,42997;1;0;--;--;8;8;316,70884;318,84522;1;1;304,13675;304,13675;--;--;--;--
100250607;DEVLET;ADIYAMAN ÜNÝVERSÝTESÝ;Saðlýk Hizmetleri Meslek Yüksekokulu;Týbbi Laboratuvar Teknikleri;TYT;30;30;331,72314;458,80656;1;1;255,14166;255,14166;8;8;329,30135;331,60988;1;1;294,67446;294,67446;--;--;--;--
